question,ground_truth_id,retrieved_ids,hit,rank,reciprocal_rank
ਅਮਰ ਸਿੰਘ ਚਮਕੀਲਾ ਦਾ ਅਸਲੀ ਨਾਂ ਕੀ ਸੀ ਅਤੇ ਉਹ ਕਿੱਥੇ ਪੈਦਾ ਹੋਇਆ ਸੀ?,Amar Singh Chamkila_Punjabi.pdf_0,"['Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Amar Singh Chamkila_Punjabi.pdf_16', 'Climate change_English.pdf_8', 'Amar Singh Chamkila_Punjabi.pdf_1', 'Climate change_English.pdf_80', 'Amar Singh Chamkila_Punjabi.pdf_10', 'Climate change_English.pdf_94']",False,0,0.0
ਅਮਰ ਸਿੰਘ ਚਮਕੀਲਾ ਅਤੇ ਉਸ ਦੀ ਪਤਨੀ ਅਮਰਜੋਤ ਦੀ ਮੌਤ ਕਿਵੇਂ ਹੋਈ?,Amar Singh Chamkila_Punjabi.pdf_1,"['Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Amar Singh Chamkila_Punjabi.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_0', 'Amar Singh Chamkila_Punjabi.pdf_1', 'Amar Singh Chamkila_Punjabi.pdf_16', 'Climate change_English.pdf_7', 'Amar Singh Chamkila_Punjabi.pdf_15', 'Climate change_English.pdf_8']",True,6,0.16666666666666666
ਚਮਕੀਲਾ ਨੂੰ ਪੰਜਾਬ ਦੇ ਕਿਹੜੇ ਤਰੀਕੇ ਦੇ ਕਲਾਕਾਰ ਵਜੋਂ ਮੰਨਿਆ ਜਾਂਦਾ ਸੀ?,Amar Singh Chamkila_Punjabi.pdf_2,"['Amar Singh Chamkila_Punjabi.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Climate change_English.pdf_9', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Climate change_English.pdf_94', 'Amar Singh Chamkila_Punjabi.pdf_16', 'Climate change_English.pdf_6', 'Climate change_English.pdf_10', 'Amar Singh Chamkila_Punjabi.pdf_1']",False,0,0.0
ਚਮਕੀਲੇ ਦੇ ਗੀਤਾਂ ਦੇ ਮੁੱਖ ਥੀਮ ਕੀ ਸਨ?,Amar Singh Chamkila_Punjabi.pdf_3,"['Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_16', 'Amar Singh Chamkila_Punjabi.pdf_19', 'Climate change_English.pdf_8', 'Climate change_English.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Climate change_English.pdf_20', 'Amar Singh Chamkila_Punjabi.pdf_8', 'Climate change_English.pdf_23', 'Artificial Intelligence_Kannada.pdf_73']",False,0,0.0
ਚਮਕੀਲੇ ਦੇ ਸਭ ਤੋਂ ਮਸ਼ਹੂਰ ਗੀਤ ਕਿਹੜੇ ਸਨ?,Amar Singh Chamkila_Punjabi.pdf_4,"['Amar Singh Chamkila_Punjabi.pdf_19', 'Climate change_English.pdf_8', 'Amar Singh Chamkila_Punjabi.pdf_18', 'Climate change_English.pdf_59', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Climate change_English.pdf_63', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Climate change_English.pdf_69', 'Amar Singh Chamkila_Punjabi.pdf_8', 'Climate change_English.pdf_71']",False,0,0.0
ਚਮਕੀਲੇ ਦਾ ਜਨਮ ਕਿਹੜੀ ਪਰਿਵਾਰਕ ਅਤੇ ਆਰਥਿਕ ਪਿੱਠਭੂਮੀ ਵਿੱਚ ਹੋਇਆ ਸੀ?,Amar Singh Chamkila_Punjabi.pdf_5,"['Amar Singh Chamkila_Punjabi.pdf_21', 'Amar Singh Chamkila_Punjabi.pdf_18', 'Climate change_English.pdf_80', 'Amar Singh Chamkila_Punjabi.pdf_19', 'Climate change_English.pdf_3', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Climate change_English.pdf_6', 'Amar Singh Chamkila_Punjabi.pdf_16', 'Climate change_English.pdf_8', 'Amar Singh Chamkila_Punjabi.pdf_2']",False,0,0.0
ਚਮਕੀਲੇ ਨੇ ਆਪਣੇ ਗੀਤਾਂ ਦੀ ਰਚਨਾ ਅਤੇ ਸਾਜ਼ ਕਿਵੇਂ ਸ਼ੁਰੂ ਕੀਤੇ?,Amar Singh Chamkila_Punjabi.pdf_6,"['Amar Singh Chamkila_Punjabi.pdf_21', 'Amar Singh Chamkila_Punjabi.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_0', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Climate change_English.pdf_98', 'Amar Singh Chamkila_Punjabi.pdf_8', 'Climate change_English.pdf_7', 'Climate change_English.pdf_8', 'Amar Singh Chamkila_Punjabi.pdf_1']",False,0,0.0
ਚਮਕੀਲੇ ਦੇ ਸੰਗੀਤ ਨੇ ਕੀ ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ ਦਰਸਾਈਆਂ?,Amar Singh Chamkila_Punjabi.pdf_7,"['Amar Singh Chamkila_Punjabi.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Amar Singh Chamkila_Punjabi.pdf_16', 'Climate change_English.pdf_8', 'Amar Singh Chamkila_Punjabi.pdf_8', 'Climate change_English.pdf_97', 'Artificial Intelligence_Kannada.pdf_73', 'Dandi march_Hindi.pdf_23']",False,0,0.0
‘ਅਮਰ ਸਿੰਘ ਚਮਕੀਲਾ’ ਨਾਂ ਕਿਸਨੇ ਰੱਖਿਆ ਸੀ?,Amar Singh Chamkila_Punjabi.pdf_8,"['Amar Singh Chamkila_Punjabi.pdf_1', 'Amar Singh Chamkila_Punjabi.pdf_16', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_10', 'Amar Singh Chamkila_Punjabi.pdf_9', 'Amar Singh Chamkila_Punjabi.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_17', 'Amar Singh Chamkila_Punjabi.pdf_11', 'Amar Singh Chamkila_Punjabi.pdf_5']",False,0,0.0
ਚਮਕੀਲੇ ਨੇ ਆਪਣਾ ਪਹਿਲਾ ਐਲਪੀ ਰਿਕਾਰਡ ਕਿਵੇਂ ਜਾਰੀ ਕੀਤਾ ਸੀ?,Amar Singh Chamkila_Punjabi.pdf_9,"['Amar Singh Chamkila_Punjabi.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Amar Singh Chamkila_Punjabi.pdf_0', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Climate change_English.pdf_24', 'Artificial Intelligence_Kannada.pdf_56', 'Amar Singh Chamkila_Punjabi.pdf_16', 'Amar Singh Chamkila_Punjabi.pdf_1', 'Climate change_English.pdf_1']",False,0,0.0
